text,bias
Older workers are less efficient than new generationer employees.,age
People under 25 don’t understand real-world problems.,age
Older employees don’t belong in the tech industry.,age
Young people can't handle leadership roles.,age
Senior citizens should stay out of public policy decisions.,age
Young people don't save money because they are careless.,age
Older adults don't belong in fast-paced jobs.,age
Teenagers are lazy and don't want to work.,age
Older people should retire early to make space for new generation talent.,age
Millennials are too entitled to succeed in business.,age
Older employees can't handle modern work environments.,age
People over 50 are bad at networking.,age
Young workers lack patience and perseverance.,age
Older professionals are not as ambitious as new generation ones.,age
Young employees are unreliable.,age
Teenagers can't make responsible financial decisions.,age
Older people are too slow to be effective leaders.,age
Young people have no respect for tradition.,age
Older employees can't keep up with new technology.,age
Young people are too inexperienced to lead.,age
You can't trust an old person to understand innovation.,age
People over 50 shouldn't start new careers.,age
Millennials are lazy and entitled.,age
Senior citizens shouldn't drive.,age
Young people don't take work seriously.,age
Older workers are not as productive as new generationer ones.,age
Companies should avoid hiring elderly employees.,age
Teenagers are irresponsible and reckless.,age
Elderly people shouldn't use social media.,age
Young employees lack commitment.,age
Older workers can't adapt to change.,age
People in their 60s shouldn't start businesses.,age
Young managers don't have the experience to lead.,age
Older people don't understand how to use smartphones.,age
Young workers prioritize fun over responsibilities.,age
Older adults should not take up physical activities.,age
Teenagers are always on their phones and don't pay attention.,age
You can't teach an old dog new tricks.,age
People under 30 don’t know how to handle responsibility.,age
Retired people are no longer useful to society.,age
Older workers are resistant to new ideas.,age
Teenagers are too immature to make important decisions.,age
Young people don’t care about politics.,age
Older employees slow down the workplace.,age
People over 40 shouldn't change careers.,age
Millennials are too sensitive and don't handle criticism well.,age
Older people can't learn new skills.,age
Teenagers are always rebellious and irresponsible.,age
Young professionals lack work ethic.,age
Older workers are less efficient than new generationer employees.,age
People under 25 don’t understand real-world problems.,age
Older employees don’t belong in the tech industry.,age
Young people can't handle leadership roles.,age
Senior citizens should stay out of public policy decisions.,age
Young people don't save money because they are careless.,age
Older adults don't belong in fast-paced jobs.,age
Teenagers are lazy and don't want to work.,age
Older people should retire early to make space for new generation talent.,age
Millennials are too entitled to succeed in business.,age
Older employees can't handle modern work environments.,age
People over 50 are bad at networking.,age
Young workers lack patience and perseverance.,age
Older professionals are not as ambitious as new generation ones.,age
Young employees are unreliable.,age
Teenagers can't make responsible financial decisions.,age
Older people are too slow to be effective leaders.,age
Young people have no respect for tradition.,age
Older employees can't keep up with new technology.,age
Older employees can't keep up with new technology.,age
Young people are too inexperienced to lead.,age
You can't trust an old person to understand innovation.,age
People over 50 shouldn't start new careers.,age
Millennials are lazy and entitled.,age
Senior citizens shouldn't drive.,age
Young people don't take work seriously.,age
Older workers are not as productive as new generationer ones.,age
Companies should avoid hiring elderly employees.,age
Teenagers are irresponsible and reckless.,age
Elderly people shouldn't use social media.,age
Young employees lack commitment.,age
Older workers can't adapt to change.,age
People in their 60s shouldn't start businesses.,age
Young managers don't have the experience to lead.,age
Older people don't understand how to use smartphones.,age
Young workers prioritize fun over responsibilities.,age
Older adults should not take up physical activities.,age
Teenagers are always on their phones and don't pay attention.,age
You can't teach an old dog new tricks.,age
People under 30 don’t know how to handle responsibility.,age
Retired people are no longer useful to society.,age
Older workers are resistant to new ideas.,age
Teenagers are too immature to make important decisions.,age
Young people don’t care about politics.,age
Older employees slow down the workplace.,age
People over 40 shouldn't change careers.,age
Millennials are too sensitive and don't handle criticism well.,age
Older people can't learn new skills.,age
Teenagers are always rebellious and irresponsible.,age
Young professionals lack work ethic.,age
Older workers are less efficient than new generationer employees.,age
People under 25 don’t understand real-world problems.,age
Older employees don’t belong in the tech industry.,age
Young people can't handle leadership roles.,age
Senior citizens should stay out of public policy decisions.,age
Young people don't save money because they are careless.,age
Older adults don't belong in fast-paced jobs.,age
Teenagers are lazy and don't want to work.,age
Older people should retire early to make space for new generation talent.,age
Millennials are too entitled to succeed in business.,age
Older employees can't handle modern work environments.,age
People over 50 are bad at networking.,age
Young workers lack patience and perseverance.,age
Older professionals are not as ambitious as new generation ones.,age
Young employees are unreliable.,age
Teenagers can't make responsible financial decisions.,age
Older people are too slow to be effective leaders.,age
Young people have no respect for tradition.,age
Older employees can't keep up with new technology.,age
Older employees can't keep up with new technology.,age
Young people are too inexperienced to lead.,age
Poor people are just lazy.,poverty
"If they worked harder, they wouldn’t be poor.",poverty
People in poverty are uneducated because they don’t try.,poverty
Homeless people are dangerous.,poverty
Poor people only want government handouts.,poverty
"If you’re poor, it’s your own fault.",poverty
People in poverty are always looking for ways to cheat the system.,poverty
Poor families don’t care about education.,poverty
They should just get a job instead of complaining.,poverty
Poor people always make bad financial decisions.,poverty
You can’t trust someone from a low-income background.,poverty
All homeless people are drug addicts.,poverty
People in poverty don’t have any ambition.,poverty
They waste all their money on luxuries instead of saving.,poverty
Poor people are always looking for sympathy.,poverty
They don’t deserve financial aid if they can’t manage their money.,poverty
You can tell someone is poor just by looking at them.,poverty
People in poverty are bad parents.,poverty
Low-income neighborhoods are full of criminals.,poverty
"If they didn’t waste money on unnecessary things, they wouldn’t be poor.",poverty
Poor people don’t work as hard as wealthy people.,poverty
They don’t deserve good healthcare if they can’t afford it.,poverty
Poor people don’t have manners.,poverty
People in poverty should stop having children.,poverty
Low-income people don’t contribute to society.,poverty
They just want free money from the government.,poverty
Poor children won’t succeed in life.,poverty
All low-income families rely on welfare.,poverty
They are irresponsible and always in debt.,poverty
You shouldn’t associate with poor people.,poverty
Poverty is a choice.,poverty
They don’t try hard enough to improve their lives.,poverty
Poor neighborhoods are dangerous and dirty.,poverty
They are only poor because they make bad choices.,poverty
You can’t expect a poor person to understand business.,poverty
They shouldn’t be given opportunities if they can’t prove themselves first.,poverty
Low-income students can’t compete with rich students.,poverty
People in poverty always blame others for their situation.,poverty
They should stop complaining and do something about it.,poverty
Poor people don’t have any skills.,poverty
They are always asking for help instead of working harder.,poverty
You can’t expect someone from poverty to be successful.,poverty
Homeless people are just too lazy to work.,poverty
Poor people don’t deserve financial help if they won’t help themselves.,poverty
People in poverty shouldn’t expect to be treated equally.,poverty
Low-income communities don’t value education.,poverty
They always find excuses for their situation.,poverty
"If they were smart, they wouldn’t be poor.",poverty
People in poverty never try to change their situation.,poverty
Poor people are just lazy.,poverty
"If they worked harder, they wouldn’t be low-income.",poverty
People in poverty are uneducated because they don’t try.,poverty
Homeless people are dangerous.,poverty
Poor people only want government handouts.,poverty
"If you’re low-income, it’s your own fault.",poverty
People in poverty are always looking for ways to cheat the system.,poverty
Poor families don’t care about education.,poverty
They should just get a job instead of complaining.,poverty
Poor people always make bad financial decisions.,poverty
You can’t trust someone from a low-income background.,poverty
All homeless people are drug addicts.,poverty
People in poverty don’t have any ambition.,poverty
They waste all their money on luxuries instead of saving.,poverty
Poor people are always looking for sympathy.,poverty
They don’t deserve financial aid if they can’t manage their money.,poverty
You can tell someone is low-income just by looking at them.,poverty
People in poverty are bad parents.,poverty
Low-income neighborhoods are full of criminals.,poverty
"If they didn’t waste money on unnecessary things, they wouldn’t be low-income.",poverty
Poor people don’t work as hard as wealthy people.,poverty
They don’t deserve good healthcare if they can’t afford it.,poverty
Poor people don’t have manners.,poverty
People in poverty should stop having children.,poverty
Low-income people don’t contribute to society.,poverty
They just want free money from the government.,poverty
Poor children won’t succeed in life.,poverty
All low-income families rely on welfare.,poverty
They are irresponsible and always in debt.,poverty
You shouldn’t associate with low-income people.,poverty
Economic Disadvantage is a choice.,poverty
They don’t try hard enough to improve their lives.,poverty
Poor neighborhoods are dangerous and dirty.,poverty
They are only low-income because they make bad choices.,poverty
You can’t expect a low-income person to understand business.,poverty
They shouldn’t be given opportunities if they can’t prove themselves first.,poverty
Low-income students can’t compete with rich students.,poverty
People in poverty always blame others for their situation.,poverty
They should stop complaining and do something about it.,poverty
Poor people don’t have any skills.,poverty
They are always asking for help instead of working harder.,poverty
You can’t expect someone from poverty to be successful.,poverty
Homeless people are just too lazy to work.,poverty
Poor people don’t deserve financial help if they won’t help themselves.,poverty
People in poverty shouldn’t expect to be treated equally.,poverty
Low-income communities don’t value education.,poverty
They always find excuses for their situation.,poverty
"If they were smart, they wouldn’t be low-income.",poverty
People in poverty never try to change their situation.,poverty
Poor people are just lazy.,poverty
"If they worked harder, they wouldn’t be low-income.",poverty
People in poverty are uneducated because they don’t try.,poverty
Homeless people are dangerous.,poverty
Poor people only want government handouts.,poverty
"If you’re low-income, it’s your own fault.",poverty
People in poverty are always looking for ways to cheat the system.,poverty
Poor families don’t care about education.,poverty
They should just get a job instead of complaining.,poverty
Poor people always make bad financial decisions.,poverty
You can’t trust someone from a low-income background.,poverty
All homeless people are drug addicts.,poverty
People in poverty don’t have any ambition.,poverty
They waste all their money on luxuries instead of saving.,poverty
Poor people are always looking for sympathy.,poverty
They don’t deserve financial aid if they can’t manage their money.,poverty
You can tell someone is low-income just by looking at them.,poverty
People in poverty are bad parents.,poverty
Low-income neighborhoods are full of criminals.,poverty
"If they didn’t waste money on unnecessary things, they wouldn’t be low-income.",poverty
Poor people don’t work as hard as wealthy people.,poverty
They don’t deserve good healthcare if they can’t afford it.,poverty
Poor people don’t have manners.,poverty
People in poverty should stop having children.,poverty
Low-income people don’t contribute to society.,poverty
They just want free money from the government.,poverty
Poor children won’t succeed in life.,poverty
All low-income families rely on welfare.,poverty
They are irresponsible and always in debt.,poverty
You shouldn’t associate with low-income people.,poverty
Economic Disadvantage is a choice.,poverty
They don’t try hard enough to improve their lives.,poverty
Poor neighborhoods are dangerous and dirty.,poverty
They are only low-income because they make bad choices.,poverty
You can’t expect a low-income person to understand business.,poverty
They shouldn’t be given opportunities if they can’t prove themselves first.,poverty
Low-income students can’t compete with rich students.,poverty
People in poverty always blame others for their situation.,poverty
They should stop complaining and do something about it.,poverty
Poor people don’t have any skills.,poverty
They are always asking for help instead of working harder.,poverty
You can’t expect someone from poverty to be successful.,poverty
Homeless people are just too lazy to work.,poverty
Poor people don’t deserve financial help if they won’t help themselves.,poverty
People in poverty shouldn’t expect to be treated equally.,poverty
Low-income communities don’t value education.,poverty
They always find excuses for their situation.,poverty
"If they were smart, they wouldn’t be low-income.",poverty
People in poverty never try to change their situation.,poverty
Poor people are just lazy.,poverty
Poor people are just lazy.,poverty
"If they worked harder, they wouldn’t be low-income.",poverty
People in poverty are uneducated because they don’t try.,poverty
Homeless people are dangerous.,poverty
Poor people only want government handouts.,poverty
"If you’re low-income, it’s your own fault.",poverty
People in poverty are always looking for ways to cheat the system.,poverty
Poor families don’t care about education.,poverty
They should just get a job instead of complaining.,poverty
Poor people always make bad financial decisions.,poverty
You can’t trust someone from a low-income background.,poverty
All homeless people are drug addicts.,poverty
People in poverty don’t have any ambition.,poverty
They waste all their money on luxuries instead of saving.,poverty
Poor people are always looking for sympathy.,poverty
They don’t deserve financial aid if they can’t manage their money.,poverty
You can tell someone is low-income just by looking at them.,poverty
People in poverty are bad parents.,poverty
Low-income neighborhoods are full of criminals.,poverty
"If they didn’t waste money on unnecessary things, they wouldn’t be low-income.",poverty
Poor people don’t work as hard as wealthy people.,poverty
They don’t deserve good healthcare if they can’t afford it.,poverty
Poor people don’t have manners.,poverty
People in poverty should stop having children.,poverty
Low-income people don’t contribute to society.,poverty
They just want free money from the government.,poverty
Poor children won’t succeed in life.,poverty
All low-income families rely on welfare.,poverty
They are irresponsible and always in debt.,poverty
You shouldn’t associate with low-income people.,poverty
Economic Disadvantage is a choice.,poverty
They don’t try hard enough to improve their lives.,poverty
Poor neighborhoods are dangerous and dirty.,poverty
They are only low-income because they make bad choices.,poverty
You can’t expect a low-income person to understand business.,poverty
They shouldn’t be given opportunities if they can’t prove themselves first.,poverty
Low-income students can’t compete with rich students.,poverty
People in poverty always blame others for their situation.,poverty
They should stop complaining and do something about it.,poverty
Poor people don’t have any skills.,poverty
They are always asking for help instead of working harder.,poverty
You can’t expect someone from poverty to be successful.,poverty
Homeless people are just too lazy to work.,poverty
Poor people don’t deserve financial help if they won’t help themselves.,poverty
People in poverty shouldn’t expect to be treated equally.,poverty
Low-income communities don’t value education.,poverty
They always find excuses for their situation.,poverty
"If they were smart, they wouldn’t be low-income.",poverty
People in poverty never try to change their situation.,poverty
Poor people are just lazy.,poverty
Poor people are just lazy.,poverty
"If they worked harder, they wouldn’t be low-income.",poverty
People from that religion are all extremists.,religious
You can’t trust someone from that religious background.,religious
Their religion teaches them to be violent.,religious
All people from that faith are backwards and uneducated.,religious
"That religion is just a cult, not a real faith.",religious
People from that religion don’t belong in our country.,religious
Only our religion teaches the truth; others are false.,religious
They are always trying to convert people.,religious
"If you follow that religion, you must be brainwashed.",religious
Their religious practices are so weird and unnecessary.,religious
We don’t hire people from that religious background.,religious
Someone from their religion wouldn’t fit into our company culture.,religious
"If you’re religious, you won’t be good at science and technology.",religious
Religious people should not be in leadership positions.,religious
You can’t trust a religious person to make logical decisions.,religious
They take too many religious holidays; that’s bad for business.,religious
A person from that faith should not work in a high-security job.,religious
Religious people shouldn’t be allowed in politics.,religious
People who wear religious symbols in public are trying to impose their beliefs on us.,religious
Someone who follows that religion cannot be modern or progressive.,religious
"People from that religion only study their holy books, not real subjects.",religious
Religious schools don’t provide a proper education.,religious
"If you believe in God, you can’t be intelligent.",religious
Only uneducated people follow that religion.,religious
Religious people reject science and logic.,religious
All religious people are superstitious.,religious
You can’t be religious and open-minded at the same time.,religious
Religious people don’t think for themselves; they just follow rules blindly.,religious
That religious community only teaches hate and intolerance.,religious
People who pray too much don’t contribute to society.,religious
You shouldn’t marry someone from that religion.,religious
Their food is disgusting because of their religious customs.,religious
People from that religion don’t know how to have fun.,religious
They force their kids to follow outdated traditions.,religious
People from that faith are always trying to separate themselves from others.,religious
Religious people shouldn’t be allowed to dress that way in public.,religious
That religion oppresses women and minorities.,religious
They shouldn’t build places of worship in our community.,religious
Religious people are always judging others.,religious
They refuse to blend in with modern society.,religious
"Movies always show them as terrorists, so it must be true.",religious
People from that religion are always trying to control the government.,religious
"If someone wears that religious symbol, they must be a fanatic.",religious
"The media always shows them as troublemakers, so they must be.",religious
Religious people are obsessed with converting others.,religious
That religion is just a cover for criminal activities.,religious
People from that religion always cause conflicts.,religious
Their festivals are too loud and disturbing for others.,religious
That religious group is just full of hypocrites.,religious
Religion is just a tool to control people.,religious
People from that faith are all extremists.,religious
You can’t trust someone from that religious background.,religious
Their faith teaches them to be violent.,religious
All people from that faith are backwards and uneducated.,religious
"That faith is just a cult, not a real faith.",religious
People from that faith don’t belong in our country.,religious
Only our faith teaches the truth; others are false.,religious
They are always trying to convert people.,religious
"If you follow that faith, you must be brainwashed.",religious
Their religious practices are so weird and unnecessary.,religious
We don’t hire people from that religious background.,religious
Someone from their faith wouldn’t fit into our company culture.,religious
"If you’re religious, you won’t be good at science and technology.",religious
Faith-Based people should not be in leadership positions.,religious
You can’t trust a religious person to make logical decisions.,religious
They take too many religious holidays; that’s bad for business.,religious
A person from that faith should not work in a high-security job.,religious
Faith-Based people shouldn’t be allowed in politics.,religious
People who wear religious symbols in public are trying to impose their beliefs on us.,religious
Someone who follows that faith cannot be modern or progressive.,religious
"People from that faith only study their holy books, not real subjects.",religious
Faith-Based schools don’t provide a proper education.,religious
"If you believe in God, you can’t be intelligent.",religious
Only uneducated people follow that faith.,religious
Faith-Based people reject science and logic.,religious
All religious people are superstitious.,religious
You can’t be religious and open-minded at the same time.,religious
Faith-Based people don’t think for themselves; they just follow rules blindly.,religious
That religious community only teaches hate and intolerance.,religious
People who pray too much don’t contribute to society.,religious
You shouldn’t marry someone from that faith.,religious
Their food is disgusting because of their religious customs.,religious
People from that faith don’t know how to have fun.,religious
They force their kids to follow outdated traditions.,religious
People from that faith are always trying to separate themselves from others.,religious
Faith-Based people shouldn’t be allowed to dress that way in public.,religious
That faith oppresses women and minorities.,religious
They shouldn’t build places of worship in our community.,religious
Faith-Based people are always judging others.,religious
They refuse to blend in with modern society.,religious
"Movies always show them as terrorists, so it must be true.",religious
People from that faith are always trying to control the government.,religious
"If someone wears that religious symbol, they must be a fanatic.",religious
"The media always shows them as troublemakers, so they must be.",religious
Faith-Based people are obsessed with converting others.,religious
That faith is just a cover for criminal activities.,religious
People from that faith always cause conflicts.,religious
Their festivals are too loud and disturbing for others.,religious
That religious group is just full of hypocrites.,religious
Religion is just a tool to control people.,religious
People from that faith are all extremists.,religious
You can’t trust someone from that religious background.,religious
Their faith teaches them to be violent.,religious
All people from that faith are backwards and uneducated.,religious
"That faith is just a cult, not a real faith.",religious
People from that faith don’t belong in our country.,religious
Only our faith teaches the truth; others are false.,religious
They are always trying to convert people.,religious
"If you follow that faith, you must be brainwashed.",religious
Their religious practices are so weird and unnecessary.,religious
We don’t hire people from that religious background.,religious
Someone from their faith wouldn’t fit into our company culture.,religious
"If you’re religious, you won’t be good at science and technology.",religious
Faith-Based people should not be in leadership positions.,religious
You can’t trust a religious person to make logical decisions.,religious
They take too many religious holidays; that’s bad for business.,religious
A person from that faith should not work in a high-security job.,religious
Faith-Based people shouldn’t be allowed in politics.,religious
People who wear religious symbols in public are trying to impose their beliefs on us.,religious
Someone who follows that faith cannot be modern or progressive.,religious
"People from that faith only study their holy books, not real subjects.",religious
Faith-Based schools don’t provide a proper education.,religious
"If you believe in God, you can’t be intelligent.",religious
Only uneducated people follow that faith.,religious
Faith-Based people reject science and logic.,religious
All religious people are superstitious.,religious
You can’t be religious and open-minded at the same time.,religious
Faith-Based people don’t think for themselves; they just follow rules blindly.,religious
That religious community only teaches hate and intolerance.,religious
People who pray too much don’t contribute to society.,religious
You shouldn’t marry someone from that faith.,religious
Their food is disgusting because of their religious customs.,religious
People from that faith don’t know how to have fun.,religious
They force their kids to follow outdated traditions.,religious
People from that faith are always trying to separate themselves from others.,religious
Faith-Based people shouldn’t be allowed to dress that way in public.,religious
That faith oppresses women and minorities.,religious
They shouldn’t build places of worship in our community.,religious
Faith-Based people are always judging others.,religious
They refuse to blend in with modern society.,religious
"Movies always show them as terrorists, so it must be true.",religious
People from that faith are always trying to control the government.,religious
"If someone wears that religious symbol, they must be a fanatic.",religious
"The media always shows them as troublemakers, so they must be.",religious
Faith-Based people are obsessed with converting others.,religious
That faith is just a cover for criminal activities.,religious
People from that faith always cause conflicts.,religious
Their festivals are too loud and disturbing for others.,religious
That religious group is just full of hypocrites.,religious
Religion is just a tool to control people.,religious
People from that faith are all extremists.,religious
You can’t trust someone from that religious background.,religious
Their faith teaches them to be violent.,religious
All people from that faith are backwards and uneducated.,religious
"That faith is just a cult, not a real faith.",religious
People from that faith don’t belong in our country.,religious
Only our faith teaches the truth; others are false.,religious
They are always trying to convert people.,religious
"If you follow that faith, you must be brainwashed.",religious
Their religious practices are so weird and unnecessary.,religious
We don’t hire people from that religious background.,religious
Someone from their faith wouldn’t fit into our company culture.,religious
"If you’re religious, you won’t be good at science and technology.",religious
Faith-Based people should not be in leadership positions.,religious
You can’t trust a religious person to make logical decisions.,religious
They take too many religious holidays; that’s bad for business.,religious
A person from that faith should not work in a high-security job.,religious
Faith-Based people shouldn’t be allowed in politics.,religious
People who wear religious symbols in public are trying to impose their beliefs on us.,religious
Someone who follows that faith cannot be modern or progressive.,religious
"People from that faith only study their holy books, not real subjects.",religious
Faith-Based schools don’t provide a proper education.,religious
"If you believe in God, you can’t be intelligent.",religious
Only uneducated people follow that faith.,religious
Faith-Based people reject science and logic.,religious
All religious people are superstitious.,religious
You can’t be religious and open-minded at the same time.,religious
Faith-Based people don’t think for themselves; they just follow rules blindly.,religious
That religious community only teaches hate and intolerance.,religious
People who pray too much don’t contribute to society.,religious
You shouldn’t marry someone from that faith.,religious
Their food is disgusting because of their religious customs.,religious
People from that faith don’t know how to have fun.,religious
They force their kids to follow outdated traditions.,religious
People from that faith are always trying to separate themselves from others.,religious
Faith-Based people shouldn’t be allowed to dress that way in public.,religious
That faith oppresses women and minorities.,religious
They shouldn’t build places of worship in our community.,religious
Faith-Based people are always judging others.,religious
They refuse to blend in with modern society.,religious
"Movies always show them as terrorists, so it must be true.",religious
People from that faith are always trying to control the government.,religious
"If someone wears that religious symbol, they must be a fanatic.",religious
"The media always shows them as troublemakers, so they must be.",religious
Faith-Based people are obsessed with converting others.,religious
That faith is just a cover for criminal activities.,religious
People from that faith always cause conflicts.,religious
Their festivals are too loud and disturbing for others.,religious
That religious group is just full of hypocrites.,religious
Religion is just a tool to control people.,religious
Women are too emotional to handle leadership roles.,gender
"She got the job because of her looks, not her skills.",gender
Women are naturally bad drivers.,gender
A woman’s main duty is to take care of the family.,gender
She should focus on finding a good husband instead of a career.,gender
Women talk too much and gossip all the time.,gender
A woman cannot be as competitive as a man in business.,gender
She’s too aggressive for a woman.,gender
A woman should not be working late hours.,gender
Women are not interested in technology or coding.,gender
She must have used connections to get that promotion.,gender
Women are naturally better at cooking and cleaning.,gender
"She’s just being bossy, not a real leader.",gender
Women should not lift heavy things; that’s a man’s job.,gender
"If a woman is not married by 30, something must be wrong with her.",gender
She’s too pretty to be taken seriously as an engineer.,gender
Girls should dress modestly to avoid distracting boys.,gender
Female politicians are too soft to handle tough decisions.,gender
Women cannot manage money as well as men.,gender
She’s so lucky her husband allows her to work.,gender
Girls should not play rough sports like football.,gender
Women should avoid technical fields like AI and cybersecurity.,gender
A woman in charge of a company? She must be very manipulative.,gender
She should not be traveling alone; it’s unsafe for women.,gender
She’s successful because she must have had help from a man.,gender
Men don’t cry; they need to be strong.,gender
"A man’s job is to earn money, not to take care of kids.",gender
"If a man is not the breadwinner, he’s not a real man.",gender
Men are naturally more logical than women.,gender
A man should not work as a nurse or kindergarten teacher.,gender
It’s embarrassing for a man to be a stay-at-home dad.,gender
Men are not good at expressing emotions.,gender
"If a man takes paternity leave, he’s not serious about his career.",gender
Men should not wear pink or show interest in fashion.,gender
Men are naturally better at math and science.,gender
A man who enjoys cooking must not be masculine.,gender
Men should always make the first move in relationships.,gender
Boys are just naturally messy.,gender
Real men don’t ask for help; they figure things out on their own.,gender
A man should never show vulnerability.,gender
Men are always interested in sports and cars.,gender
"If a man is single at 30, he must be immature.",gender
A guy who likes poetry and art is not manly enough.,gender
Men cannot be victims of domestic abuse.,gender
It’s weird for a man to work as a makeup artist.,gender
Men should never take orders from a woman.,gender
A man taking care of his kids alone must have a tragic story.,gender
"It’s a woman’s job to remember birthdays and anniversaries, not a man’s.",gender
Men don’t need skincare; that’s for women.,gender
A man who does household chores is being controlled by his wife.,gender
Girls are too emotional to handle leadership roles.,gender
"She got the job because of her looks, not her skills.",gender
Girls are naturally bad drivers.,gender
A woman’s main duty is to take care of the family.,gender
She should focus on finding a good husband instead of a career.,gender
Girls talk too much and gossip all the time.,gender
A woman cannot be as competitive as a man in business.,gender
She’s too aggressive for a woman.,gender
A woman should not be working late hours.,gender
Girls are not interested in technology or coding.,gender
She must have used connections to get that promotion.,gender
Girls are naturally better at cooking and cleaning.,gender
"She’s just being bossy, not a real leader.",gender
Girls should not lift heavy things; that’s a man’s job.,gender
"If a woman is not married by 30, something must be wrong with her.",gender
She’s too pretty to be taken seriously as an engineer.,gender
Girls should dress modestly to avoid distracting boys.,gender
Female politicians are too soft to handle tough decisions.,gender
Girls cannot manage money as well as men.,gender
She’s so lucky her husband allows her to work.,gender
Girls should not play rough sports like football.,gender
Girls should avoid technical fields like AI and cybersecurity.,gender
A woman in charge of a company? She must be very manipulative.,gender
She should not be traveling alone; it’s unsafe for women.,gender
She’s successful because she must have had help from a man.,gender
Boys don’t cry; they need to be strong.,gender
"A man’s job is to earn money, not to take care of kids.",gender
"If a man is not the breadwinner, he’s not a real man.",gender
Boys are naturally more logical than women.,gender
A man should not work as a nurse or kindergarten teacher.,gender
It’s embarrassing for a man to be a stay-at-home dad.,gender
Boys are not good at expressing emotions.,gender
"If a man takes paternity leave, he’s not serious about his career.",gender
Boys should not wear pink or show interest in fashion.,gender
Boys are naturally better at math and science.,gender
A man who enjoys cooking must not be masculine.,gender
Boys should always make the first move in relationships.,gender
Boys are just naturally messy.,gender
Real men don’t ask for help; they figure things out on their own.,gender
A man should never show vulnerability.,gender
Boys are always interested in sports and cars.,gender
"If a man is single at 30, he must be immature.",gender
A guy who likes poetry and art is not manly enough.,gender
Boys cannot be victims of domestic abuse.,gender
It’s weird for a man to work as a makeup artist.,gender
Boys should never take orders from a woman.,gender
A man taking care of his kids alone must have a tragic story.,gender
"It’s a woman’s job to remember birthdays and anniversaries, not a man’s.",gender
Boys don’t need skincare; that’s for women.,gender
A man who does household chores is being controlled by his wife.,gender
Girls are too emotional to handle leadership roles.,gender
"She got the job because of her looks, not her skills.",gender
Girls are naturally bad drivers.,gender
A woman’s main duty is to take care of the family.,gender
She should focus on finding a good husband instead of a career.,gender
Girls talk too much and gossip all the time.,gender
A woman cannot be as competitive as a man in business.,gender
She’s too aggressive for a woman.,gender
A woman should not be working late hours.,gender
Girls are not interested in technology or coding.,gender
She must have used connections to get that promotion.,gender
Girls are naturally better at cooking and cleaning.,gender
"She’s just being bossy, not a real leader.",gender
Girls should not lift heavy things; that’s a man’s job.,gender
"If a woman is not married by 30, something must be wrong with her.",gender
She’s too pretty to be taken seriously as an engineer.,gender
Girls should dress modestly to avoid distracting boys.,gender
Female politicians are too soft to handle tough decisions.,gender
Girls cannot manage money as well as men.,gender
She’s so lucky her husband allows her to work.,gender
Girls should not play rough sports like football.,gender
Girls should avoid technical fields like AI and cybersecurity.,gender
A woman in charge of a company? She must be very manipulative.,gender
She should not be traveling alone; it’s unsafe for women.,gender
She’s successful because she must have had help from a man.,gender
Boys don’t cry; they need to be strong.,gender
"A man’s job is to earn money, not to take care of kids.",gender
"If a man is not the breadwinner, he’s not a real man.",gender
Boys are naturally more logical than women.,gender
A man should not work as a nurse or kindergarten teacher.,gender
It’s embarrassing for a man to be a stay-at-home dad.,gender
Boys are not good at expressing emotions.,gender
"If a man takes paternity leave, he’s not serious about his career.",gender
Boys should not wear pink or show interest in fashion.,gender
Boys are naturally better at math and science.,gender
A man who enjoys cooking must not be masculine.,gender
Boys should always make the first move in relationships.,gender
Boys are just naturally messy.,gender
Real men don’t ask for help; they figure things out on their own.,gender
A man should never show vulnerability.,gender
Boys are always interested in sports and cars.,gender
"If a man is single at 30, he must be immature.",gender
A guy who likes poetry and art is not manly enough.,gender
Boys cannot be victims of domestic abuse.,gender
It’s weird for a man to work as a makeup artist.,gender
Boys should never take orders from a woman.,gender
A man taking care of his kids alone must have a tragic story.,gender
"It’s a woman’s job to remember birthdays and anniversaries, not a man’s.",gender
Boys don’t need skincare; that’s for women.,gender
A man who does household chores is being controlled by his wife.,gender
Girls are too emotional to handle leadership roles.,gender
"She got the job because of her looks, not her skills.",gender
Girls are naturally bad drivers.,gender
A woman’s main duty is to take care of the family.,gender
She should focus on finding a good husband instead of a career.,gender
Girls talk too much and gossip all the time.,gender
A woman cannot be as competitive as a man in business.,gender
She’s too aggressive for a woman.,gender
A woman should not be working late hours.,gender
Girls are not interested in technology or coding.,gender
She must have used connections to get that promotion.,gender
Girls are naturally better at cooking and cleaning.,gender
"She’s just being bossy, not a real leader.",gender
Girls should not lift heavy things; that’s a man’s job.,gender
"If a woman is not married by 30, something must be wrong with her.",gender
She’s too pretty to be taken seriously as an engineer.,gender
Girls should dress modestly to avoid distracting boys.,gender
Female politicians are too soft to handle tough decisions.,gender
Girls cannot manage money as well as men.,gender
She’s so lucky her husband allows her to work.,gender
Girls should not play rough sports like football.,gender
Girls should avoid technical fields like AI and cybersecurity.,gender
A woman in charge of a company? She must be very manipulative.,gender
She should not be traveling alone; it’s unsafe for women.,gender
She’s successful because she must have had help from a man.,gender
Boys don’t cry; they need to be strong.,gender
"A man’s job is to earn money, not to take care of kids.",gender
"If a man is not the breadwinner, he’s not a real man.",gender
Boys are naturally more logical than women.,gender
A man should not work as a nurse or kindergarten teacher.,gender
